/Users/Swapan/udacity/Term2CardNd/Term2-Udacity-CarND-Unscented-Kalman-Filter-Project/cmake-build-debug/UnscentedKF
Listening to port 4567
Connected!!!
RADAR measurement : 26.0724
LASER measurement : 0.639302
RADAR measurement : 0.982503
LASER measurement : 1.25564
RADAR measurement : 4.98454
LASER measurement : 1.48241
RADAR measurement : 8.43997
LASER measurement : 2.8456
RADAR measurement : 0.0324669
LASER measurement : 1.40401
RADAR measurement : 1.52023
LASER measurement : 0.92512
RADAR measurement : 3.96868
LASER measurement : 1.47131
RADAR measurement : 2.51131
LASER measurement : 0.535851
RADAR measurement : 1.22144
LASER measurement : 0.630824
RADAR measurement : 1.86489
LASER measurement : 0.249283
RADAR measurement : 0.8326
LASER measurement : 0.415394
RADAR measurement : 3.8902
LASER measurement : 0.172437
RADAR measurement : 1.85142
LASER measurement : 0.302757
RADAR measurement : 3.21273
LASER measurement : 2.31403
RADAR measurement : 0.798245
LASER measurement : 0.96071
RADAR measurement : 0.747946
LASER measurement : 0.468265
RADAR measurement : 0.222183
LASER measurement : 2.00971
RADAR measurement : 0.75175
LASER measurement : 3.93671
RADAR measurement : 3.84816
LASER measurement : 1.48403
RADAR measurement : 0.275
LASER measurement : 1.27817
RADAR measurement : 2.18185
LASER measurement : 3.40013
RADAR measurement : 0.498692
LASER measurement : 4.02646
RADAR measurement : 1.01659
LASER measurement : 3.21487
RADAR measurement : 2.56688
LASER measurement : 0.977768
RADAR measurement : 7.31964
LASER measurement : 1.11152
RADAR measurement : 2.88755
LASER measurement : 2.15835
RADAR measurement : 4.89769
LASER measurement : 0.00100894
RADAR measurement : 10.4306
LASER measurement : 4.87725
RADAR measurement : 3.80876
LASER measurement : 1.08339
RADAR measurement : 3.10318
LASER measurement : 1.92131
RADAR measurement : 2.09668
LASER measurement : 0.979716
RADAR measurement : 1.3064
LASER measurement : 1.36355
RADAR measurement : 0.815068
LASER measurement : 0.374245
RADAR measurement : 1.36868
LASER measurement : 1.15533
RADAR measurement : 3.4167
LASER measurement : 2.20489
RADAR measurement : 7.77957
LASER measurement : 3.47546
RADAR measurement : 1.30179
LASER measurement : 0.0441832
RADAR measurement : 1.83099
LASER measurement : 0.531059
RADAR measurement : 0.246366
LASER measurement : 0.251584
RADAR measurement : 6.59076
LASER measurement : 2.00938
RADAR measurement : 6.06002
LASER measurement : 3.81818
RADAR measurement : 2.28622
LASER measurement : 0.921423
RADAR measurement : 2.06228
LASER measurement : 1.05449
RADAR measurement : 6.59863
LASER measurement : 0.548942
RADAR measurement : 1.77639
LASER measurement : 0.274614
RADAR measurement : 3.03663
LASER measurement : 2.72522
RADAR measurement : 3.26022
LASER measurement : 0.848474
RADAR measurement : 10.1058
LASER measurement : 0.74892
RADAR measurement : 3.22224
LASER measurement : 1.24923
RADAR measurement : 5.59593
LASER measurement : 1.89035
RADAR measurement : 2.16681
LASER measurement : 0.605537
RADAR measurement : 1.2568
LASER measurement : 0.6953
RADAR measurement : 0.348493
LASER measurement : 1.56633
RADAR measurement : 2.32766
LASER measurement : 0.18157
RADAR measurement : 1.80977
LASER measurement : 2.08936
RADAR measurement : 2.52665
LASER measurement : 0.133402
RADAR measurement : 0.952697
LASER measurement : 1.91164
RADAR measurement : 1.07233
LASER measurement : 0.695531
RADAR measurement : 4.12806
LASER measurement : 0.522511
RADAR measurement : 5.62138
LASER measurement : 3.51577
RADAR measurement : 1.0207
LASER measurement : 1.58644
RADAR measurement : 2.19092
LASER measurement : 0.78931
RADAR measurement : 1.43296
LASER measurement : 2.64699
RADAR measurement : 4.37583
LASER measurement : 2.92773
RADAR measurement : 0.0934097
LASER measurement : 0.136267
RADAR measurement : 3.45635
LASER measurement : 3.25177
RADAR measurement : 0.228206
LASER measurement : 0.469613
RADAR measurement : 0.532665
LASER measurement : 0.203661
RADAR measurement : 2.93024
LASER measurement : 0.539863
RADAR measurement : 1.81507
LASER measurement : 1.77298
RADAR measurement : 1.80567
LASER measurement : 1.96638
RADAR measurement : 4.69886
LASER measurement : 0.752578
RADAR measurement : 1.52555
LASER measurement : 1.10663
RADAR measurement : 1.25342
LASER measurement : 1.75465
RADAR measurement : 7.29301
LASER measurement : 2.73714
RADAR measurement : 3.44059
LASER measurement : 1.18474
RADAR measurement : 2.27557
LASER measurement : 6.18241
RADAR measurement : 2.92724
LASER measurement : 0.0427903
RADAR measurement : 2.23858
LASER measurement : 0.51237
RADAR measurement : 4.88861
LASER measurement : 2.23357
RADAR measurement : 0.922779
LASER measurement : 1.70825
RADAR measurement : 2.09667
LASER measurement : 0.706077
RADAR measurement : 0.977666
LASER measurement : 2.0984
RADAR measurement : 2.53672
LASER measurement : 0.586584
RADAR measurement : 1.81443
LASER measurement : 0.718534
RADAR measurement : 2.70306
LASER measurement : 4.083
RADAR measurement : 0.786375
LASER measurement : 1.18594
RADAR measurement : 1.29698
LASER measurement : 3.67494
RADAR measurement : 3.3121
LASER measurement : 0.347396
RADAR measurement : 3.64635
LASER measurement : 0.505244
RADAR measurement : 2.74904
LASER measurement : 4.27106
RADAR measurement : 2.58107
LASER measurement : 2.34593
RADAR measurement : 1.42933
LASER measurement : 0.860736
RADAR measurement : 1.3191
LASER measurement : 2.07215
RADAR measurement : 0.563132
LASER measurement : 0.837352
RADAR measurement : 2.50088
LASER measurement : 3.93585
RADAR measurement : 1.93396
LASER measurement : 0.116521
RADAR measurement : 2.71495
LASER measurement : 0.905507
RADAR measurement : 5.50942
LASER measurement : 0.714266
RADAR measurement : 5.50008
LASER measurement : 0.325753
RADAR measurement : 1.71909
LASER measurement : 2.42817
RADAR measurement : 3.69031
LASER measurement : 0.238779
RADAR measurement : 3.70813
LASER measurement : 1.83895
RADAR measurement : 2.26517
LASER measurement : 0.665511
RADAR measurement : 0.240494
LASER measurement : 2.16322
RADAR measurement : 2.15533
LASER measurement : 2.3444
RADAR measurement : 1.29872
LASER measurement : 0.784637
RADAR measurement : 4.16837
LASER measurement : 0.00865882
RADAR measurement : 0.741166
LASER measurement : 1.25527
RADAR measurement : 0.203731
LASER measurement : 0.569214
RADAR measurement : 4.04221
LASER measurement : 1.3693
RADAR measurement : 0.422351
LASER measurement : 5.18639
RADAR measurement : 1.18942
LASER measurement : 3.91657
RADAR measurement : 5.28219
LASER measurement : 1.54965
RADAR measurement : 5.2348
LASER measurement : 1.73159
RADAR measurement : 4.81486
LASER measurement : 3.84471
RADAR measurement : 5.72595
LASER measurement : 0.816177
RADAR measurement : 2.3336
LASER measurement : 1.45272
RADAR measurement : 3.90334
LASER measurement : 0.344848
RADAR measurement : 3.34552
LASER measurement : 0.578732
RADAR measurement : 1.13571
LASER measurement : 2.37802
RADAR measurement : 0.29252
LASER measurement : 1.45621
RADAR measurement : 4.42188
LASER measurement : 4.72001
RADAR measurement : 0.494265
LASER measurement : 0.565182
RADAR measurement : 0.410646
LASER measurement : 1.2768
RADAR measurement : 2.31402
LASER measurement : 0.337509
RADAR measurement : 3.40387
LASER measurement : 1.78389
RADAR measurement : 0.254932
LASER measurement : 0.0755381
RADAR measurement : 5.52175
LASER measurement : 4.00678
RADAR measurement : 1.06733
LASER measurement : 0.745904
RADAR measurement : 7.1808
LASER measurement : 0.681655
RADAR measurement : 0.927267
LASER measurement : 3.77968
RADAR measurement : 1.76568
LASER measurement : 3.58496
RADAR measurement : 1.30028
LASER measurement : 3.10633
RADAR measurement : 1.72451
LASER measurement : 2.86666
RADAR measurement : 1.46548
LASER measurement : 0.580974
RADAR measurement : 2.87953
LASER measurement : 1.64802
RADAR measurement : 1.54028
LASER measurement : 4.38518
RADAR measurement : 2.805
LASER measurement : 1.7571
RADAR measurement : 3.54404
LASER measurement : 1.03889
RADAR measurement : 2.92753
LASER measurement : 0.732454
RADAR measurement : 0.324963
LASER measurement : 1.95776
RADAR measurement : 4.5186
LASER measurement : 5.33927
RADAR measurement : 2.11054
LASER measurement : 2.12903
RADAR measurement : 2.21843
LASER measurement : 0.511579
RADAR measurement : 5.03547
LASER measurement : 1.54398
RADAR measurement : 7.92789
LASER measurement : 0.499499
RADAR measurement : 1.67176
LASER measurement : 0.196634
RADAR measurement : 0.639525
LASER measurement : 2.151
RADAR measurement : 1.74388
LASER measurement : 0.273499
RADAR measurement : 3.92578
LASER measurement : 3.07827
RADAR measurement : 1.11895
LASER measurement : 1.35428
RADAR measurement : 4.93897
LASER measurement : 14.3451
RADAR measurement : 1.58936
LASER measurement : 0.744709
RADAR measurement : 2.52328
LASER measurement : 1.14213
RADAR measurement : 1.96298
LASER measurement : 1.42767
RADAR measurement : 6.33944
LASER measurement : 0.0741966
RADAR measurement : 2.09633
LASER measurement : 1.3955
RADAR measurement : 0.821761
LASER measurement : 6.39793
RADAR measurement : 3.51691
LASER measurement : 2.29734
RADAR measurement : 1.741
LASER measurement : 0.673467
RADAR measurement : 0.900686
LASER measurement : 2.06876
RADAR measurement : 1.97988
LASER measurement : 3.21267
RADAR measurement : 3.49645
LASER measurement : 5.24161
RADAR measurement : 0.302639
LASER measurement : 2.79712
RADAR measurement : 1.8506
LASER measurement : 0.334559
RADAR measurement : 1.32746
LASER measurement : 0.622237
RADAR measurement : 6.33823
LASER measurement : 0.543045
RADAR measurement : 0.205776
LASER measurement : 0.533558
RADAR measurement : 11.1514
LASER measurement : 1.85446
RADAR measurement : 3.50936
LASER measurement : 4.2936
RADAR measurement : 0.458677
LASER measurement : 1.46474
RADAR measurement : 1.46884
LASER measurement : 5.83624
RADAR measurement : 1.0474
LASER measurement : 1.10597
RADAR measurement : 2.03063
LASER measurement : 1.16804
RADAR measurement : 1.6366
LASER measurement : 0.011201
RADAR measurement : 5.13507
LASER measurement : 0.62924
RADAR measurement : 2.27682
LASER measurement : 2.65057
RADAR measurement : 1.95178
LASER measurement : 1.31073
RADAR measurement : 1.82256
LASER measurement : 2.8527
RADAR measurement : 7.06108
LASER measurement : 0.096973
RADAR measurement : 8.42991
LASER measurement : 0.461573
RADAR measurement : 0.250374
LASER measurement : 0.874364
RADAR measurement : 0.764868
LASER measurement : 0.116694
RADAR measurement : 2.9033
